id,type,source,target
93690,\,28594,55215
93691,\,30390,55215
93692,\,37652,55215
93693,\,51562,55215
93694,\,63464,55215
93695,\,75532,55215
93696,\,77855,55215
93697,\,83873,55215
93698,\,84754,55215
93699,\,85807,55215
93700,\,93514,55215
93701,\,104123,55215
93702,\,6264,55273
93703,\,9420,55273
93704,\,12153,55273
93705,\,23435,55273
93706,\,28594,55273
93707,\,30390,55273
93708,\,51562,55273
93709,\,51509,54071
93710,\,77855,55273
93711,\,83873,55273
93712,\,84754,55273
93713,\,85807,55273
93714,\,93514,55273
93715,\,104123,55273
93716,\,15105,55336
93717,\,57766,55336
93718,\,55040,55021
93719,\,55039,55021
93720,\,55038,55021
93721,\,55013,55016
93722,\,55014,55016
93723,\,55015,55016
93724,\,55017,55016
93725,\,55169,55167
93726,\,55168,55167
93727,\,55300,55301
93728,\,55160,55172
93729,\,55161,55172
93730,\,55159,55172
93731,\,55164,55172
93732,\,55165,55172
93733,\,55166,55172
93734,\,55167,55172
93735,\,55170,55172
93736,\,55389,55382
93737,\,55374,55373
93738,\,55368,55373
93739,\,55367,55373
93740,\,55377,55373
93741,\,93706,55872
93742,\,55962,55960
93743,\,55962,55790
93744,\,55875,55876
93745,\,55879,55876
93746,\,55875,55915
93747,\,55879,55915
93748,\,56390,56391
93749,\,56392,56391
93750,\,56393,56391
93751,\,56394,56391
93752,\,56397,56391
93753,\,56398,56391
93754,\,56412,56415
93755,\,56770,56768
93756,\,56771,56768
93757,\,56772,56768
93758,\,56769,56768
93759,\,56775,56768
93760,\,56776,56768
93761,\,3212,56890
93762,\,25399,56890
93763,\,28679,56890
93764,\,37750,56890
93765,\,48575,56890
93766,\,56858,56890
93767,\,72860,56890
93768,\,77902,56890
93769,\,81223,56890
93770,\,97780,56890
93771,\,66452,56890
93772,\,57027,57028
93773,\,57029,57028
93774,\,57030,57028
93775,\,57031,57028
93776,\,57032,57028
93777,\,57033,57028
93778,\,57034,57028
93779,\,57035,57028
93780,\,57036,57028
93781,\,57037,57028
93782,\,57038,57028
93783,\,57039,57028
93784,\,6331,57168
93785,\,12234,57168
93786,\,23523,57168
93787,\,28691,57168
93788,\,30458,57168
93789,\,37768,57168
93790,\,57127,57168
93791,\,57168,57168
93792,\,57179,57168
93793,\,57176,57168
93794,\,74610,57168
93795,\,84067,57168
93796,\,85854,57168
93797,\,93762,57168
93798,\,57272,57277
93799,\,57273,57277
93800,\,57274,57277
93801,\,57275,57277
93802,\,12230,57022
93803,\,17980,57022
93804,\,57014,57022
93805,\,57015,57022
93806,\,57016,57022
93807,\,57023,57022
93808,\,12230,57021
93809,\,75532,55273
93810,\,57015,57021
93811,\,57016,57021
93812,\,57023,57021
93813,\,57024,57021
93814,\,57038,57039
93815,\,57099,57092
93816,\,57295,57294
93817,\,57296,57294
93818,\,57418,57419
93819,\,57418,56812
93820,\,6350,57493
93821,\,28718,57493
93822,\,37800,57493
93823,\,63482,57493
93824,\,85866,57493
93825,\,93788,57493
93826,\,57430,57429
93827,\,57431,57429
93828,\,23546,57606
93829,\,84086,57606
93830,\,104248,57606
93831,\,3516,57606
93832,\,57596,57606
93833,\,57597,57606
93834,\,57599,57606
93835,\,57602,57606
93836,\,111974,57704
93837,\,57813,57938
93838,\,57818,57938
93839,\,57819,57938
93840,\,57821,57938
93841,\,57822,57938
93842,\,57823,57938
93843,\,57813,57987
93844,\,57818,57987
93845,\,57819,57987
93846,\,57821,57987
93847,\,57822,57987
93848,\,57823,57987
93849,\,57813,57955
93850,\,57818,57955
93851,\,57819,57955
93852,\,57821,57955
93853,\,57822,57955
93854,\,58205,58295
93855,\,58208,58295
93856,\,58215,58295
93857,\,58216,58295
93858,\,58217,58295
93859,\,58218,58295
93860,\,58220,58295
93861,\,58221,58295
93862,\,58222,58295
93863,\,58223,58295
93864,\,58224,58295
93865,\,58225,58295
93866,\,58226,58295
93867,\,58227,58295
93868,\,54441,54449
93869,\,54440,54449
93870,\,54430,54449
93871,\,54434,54449
93872,\,54441,54460
93873,\,54440,54460
93874,\,54430,54460
93875,\,54434,54460
93876,\,54438,54460
93877,\,57828,57827
93878,\,57829,57827
93879,\,57832,57827
93880,\,57834,57827
93881,\,57835,57827
93882,\,57836,57827
93883,\,57837,57827
93884,\,57838,57827
93885,\,57839,57827
93886,\,57840,57827
93887,\,57841,57827
93888,\,57842,57827
93889,\,57843,57827
93890,\,57845,57827
93891,\,57846,57827
93892,\,57847,57827
93893,\,57848,57827
93894,\,57876,57827
93895,\,57877,57827
93896,\,57878,57827
93897,\,57879,57827
93898,\,57880,57827
93899,\,57882,57827
93900,\,57883,57827
93901,\,57885,57827
93902,\,57886,57827
93903,\,58293,58298
93904,\,58323,58362
93905,\,58369,58362
93906,\,58488,58487
93907,\,58489,58487
93908,\,58500,58503
93909,\,57014,57021
93910,\,20767,58747
93911,\,58749,58747
93912,\,58750,58747
93913,\,58751,58747
93914,\,58752,58747
93915,\,58753,58747
93916,\,58755,58747
93917,\,58698,58763
93918,\,58749,58763
93919,\,58750,58763
93920,\,58751,58763
93921,\,58752,58763
93922,\,58753,58763
93923,\,58755,58763
93924,\,58958,58961
93925,\,58960,58961
93926,\,58994,59034
93927,\,58995,59034
93928,\,59070,59089
93929,\,59071,59089
93930,\,59072,59089
93931,\,59086,59089
93932,\,59074,59089
93933,\,59076,59089
93934,\,59078,59089
93935,\,59080,59089
93936,\,59082,59089
93937,\,59083,59089
93938,\,59087,59089
93939,\,59101,59089
93940,\,59114,59115
93941,\,59116,59115
93942,\,59117,59115
93943,\,59118,59115
93944,\,59121,59115
93945,\,59122,59115
93946,\,30516,59329
93947,\,37880,59329
93948,\,94034,59329
93949,\,30516,59383
93950,\,37880,59383
93951,\,94034,59383
93952,\,59362,59744
93953,\,108761,59744
93954,\,59763,59944
93955,\,59763,59978
93956,\,60163,60167
93957,\,60164,60167
93958,\,60165,60167
93959,\,60166,60167
93960,\,60168,60167
93961,\,60169,60167
93962,\,60226,60214
93963,\,60226,60436
93964,\,60226,60477
93965,\,60226,60476
93966,\,4293,60648
93967,\,60589,60648
93968,\,60600,60648
93969,\,84154,60648
93970,\,37956,60648
93971,\,60664,60659
93972,\,60673,60659
93973,\,60666,60659
93974,\,60657,60659
93975,\,60656,60659
93976,\,60664,60658
93977,\,60663,60658
93978,\,60673,60658
93979,\,60666,60658
93980,\,60657,60658
93981,\,60656,60658
93982,\,25466,60858
93983,\,25467,60858
93984,\,60874,60897
93985,\,60880,60897
93986,\,60879,60897
93987,\,60902,60897
93988,\,60899,60897
93989,\,60874,60945
93990,\,60879,60945
93991,\,60902,60945
93992,\,60899,60945
93993,\,60874,60960
93994,\,60880,60960
93995,\,60879,60960
93996,\,60902,60960
93997,\,60899,60960
93998,\,60996,60997
93999,\,61013,61009
94000,\,61016,61009
94001,\,6458,61063
94002,\,8853,61063
94003,\,12418,61063
94004,\,23651,61063
94005,\,36030,61063
94006,\,37974,61063
94007,\,51822,61063
94008,\,77985,61063
94009,\,58698,58747
94010,\,104344,61063
94011,\,6458,61075
94012,\,8853,61075
94013,\,12418,61075
94014,\,23651,61075
94015,\,36030,61075
94016,\,37974,61075
94017,\,51822,61075
94018,\,77985,61075
94019,\,94078,61075
94020,\,102705,61075
94021,\,104344,61075
94022,\,58648,58912
94023,\,63028,58912
94024,\,87107,58912
94025,\,59048,59045
94026,\,58545,58586
94027,\,9467,58774
94028,\,12299,58774
94029,\,23572,58774
94030,\,30500,58774
94031,\,31926,58774
94032,\,37861,58774
94033,\,51720,58774
94034,\,69549,58774
94035,\,74643,58774
94036,\,84116,58774
94037,\,85892,58774
94038,\,94022,58774
94039,\,103285,58774
94040,\,104269,58774
94041,\,59228,59230
94042,\,6404,59190
94043,\,12323,59190
94044,\,23593,59190
94045,\,30528,59190
94046,\,31953,59190
94047,\,37886,59190
94048,\,59247,59190
94049,\,59252,59190
94050,\,77957,59190
94051,\,6404,59362
94052,\,12323,59362
94053,\,23593,59362
94054,\,31953,59362
94055,\,37886,59362
94056,\,59247,59362
94057,\,59252,59362
94058,\,77957,59362
94059,\,59213,59956
94060,\,59989,59990
94061,\,19425,60252
94062,\,60179,60252
94063,\,60180,60252
94064,\,60203,60252
94065,\,60202,60252
94066,\,60256,60252
94067,\,60257,60252
94068,\,82319,60252
94069,\,60564,60565
94070,\,84147,60565
94071,\,31994,60565
94072,\,9488,60565
94073,\,60600,60636
94074,\,60605,60636
94075,\,60606,60636
94076,\,37964,60794
94077,\,60903,60909
94078,\,60905,60909
94079,\,60925,111981
94080,\,60925,61016
94081,\,61193,61206
94082,\,61198,61206
94083,\,61199,61206
94084,\,61201,61206
94085,\,61202,61206
94086,\,61203,61206
94087,\,61204,61206
94088,\,61205,61206
94089,\,61207,61206
94090,\,6410,59825
94091,\,9479,59825
94092,\,23609,59825
94093,\,25454,59825
94094,\,51763,59825
94095,\,59827,59825
94096,\,59828,59825
94097,\,59829,59825
94098,\,59826,59825
94099,\,65273,59825
94100,\,74664,59825
94101,\,77965,59825
94102,\,81267,59825
94103,\,84134,59825
94104,\,84135,59825
94105,\,85904,59825
94106,\,104300,59825
94107,\,59872,59880
94108,\,59875,59880
94109,\,102705,61063
94110,\,59882,59880
94111,\,59883,59880
94112,\,59884,59880
94113,\,59872,59879
94114,\,59874,59879
94115,\,59875,59879
94116,\,59876,59879
94117,\,59881,59879
94118,\,59883,59879
94119,\,59884,59879
94120,\,59872,59897
94121,\,59874,59897
94122,\,59875,59897
94123,\,59876,59897
94124,\,59881,59897
94125,\,59882,59897
94126,\,59883,59897
94127,\,59884,59897
94128,\,61268,111984
94129,\,111994,61334
94130,\,61336,61334
94131,\,111994,61339
94132,\,61336,61339
94133,\,61668,61665
94134,\,15114,61706
94135,\,61711,61706
94136,\,61844,61853
94137,\,6487,61920
94138,\,12457,61920
94139,\,23683,61920
94140,\,29656,61920
94141,\,30634,61920
94142,\,32247,61920
94143,\,51855,61920
94144,\,77999,61920
94145,\,84187,61920
94146,\,85928,61920
94147,\,104365,61920
94148,\,61924,61951
94149,\,61932,61951
94150,\,61933,61951
94151,\,61934,61951
94152,\,61935,61951
94153,\,61936,61951
94154,\,61938,61951
94155,\,61939,61951
94156,\,61940,61951
94157,\,61941,61951
94158,\,61942,61951
94159,\,61943,61951
94160,\,61944,61951
94161,\,61945,61951
94162,\,61946,61951
94163,\,61947,61951
94164,\,61948,61951
94165,\,61949,61951
94166,\,4516,62080
94167,\,44624,62361
94168,\,62360,62361
94169,\,112120,62429
94170,\,4742,62429
94171,\,62641,111989
94172,\,62858,62753
94173,\,102083,62753
94174,\,62969,62949
94175,\,63028,63045
94176,\,27550,63045
94177,\,42186,63045
94178,\,4799,63063
94179,\,4801,63063
94180,\,63064,63063
94181,\,63066,63063
94182,\,63067,63063
94183,\,63578,63575
94184,\,63578,63933
94185,\,63981,63999
94186,\,63989,63999
94187,\,64058,111990
94188,\,25596,111990
94189,\,73182,111990
94190,\,64098,64096
94191,\,64099,64096
94192,\,64100,64096
94193,\,64101,64096
94194,\,64102,64096
94195,\,64103,64096
94196,\,64104,64096
94197,\,64220,64202
94198,\,64220,64288
94199,\,64220,64287
94200,\,64547,64558
94201,\,64546,64558
94202,\,64548,64558
94203,\,64551,64558
94204,\,64563,64558
94205,\,64552,64558
94206,\,64562,64558
94207,\,94287,64558
94208,\,81330,64846
94209,\,59881,59880
94210,\,64839,64846
94211,\,64844,64846
94212,\,2422,64847
94213,\,4922,64847
94214,\,64853,64847
94215,\,64854,64847
94216,\,64860,64847
94217,\,64959,64960
94218,\,64962,64960
94219,\,64959,65087
94220,\,64961,65087
94221,\,64962,65087
94222,\,64959,65140
94223,\,64961,65140
94224,\,64962,65140
94225,\,65144,65149
94226,\,65146,65149
94227,\,65148,65149
94228,\,65166,65449
94229,\,112004,65449
94230,\,65228,65449
94231,\,65166,65467
94232,\,112004,65467
94233,\,65228,65467
94234,\,65302,65522
94235,\,65501,65522
94236,\,65514,65522
94237,\,65515,65522
94238,\,65502,65522
94239,\,65503,65522
94240,\,65506,65522
94241,\,65508,65522
94242,\,65509,65522
94243,\,65510,65522
94244,\,65511,65522
94245,\,65512,65522
94246,\,65519,65522
94247,\,65524,65522
94248,\,65525,65522
94249,\,65526,65522
94250,\,65528,65522
94251,\,65529,65522
94252,\,65302,65521
94253,\,65501,65521
94254,\,65514,65521
94255,\,65515,65521
94256,\,65502,65521
94257,\,65503,65521
94258,\,65506,65521
94259,\,65508,65521
94260,\,65509,65521
94261,\,65510,65521
94262,\,65511,65521
94263,\,65512,65521
94264,\,65519,65521
94265,\,65524,65521
94266,\,65525,65521
94267,\,65526,65521
94268,\,65528,65521
94269,\,65529,65521
94270,\,65302,65520
94271,\,65501,65520
94272,\,65514,65520
94273,\,65515,65520
94274,\,65502,65520
94275,\,65503,65520
94276,\,65506,65520
94277,\,65508,65520
94278,\,65509,65520
94279,\,65510,65520
94280,\,65511,65520
94281,\,65512,65520
94282,\,65519,65520
94283,\,65524,65520
94284,\,65525,65520
94285,\,65526,65520
94286,\,65528,65520
94287,\,65529,65520
94288,\,65767,65762
94289,\,65786,65790
94290,\,65787,65790
94291,\,65788,65790
94292,\,65789,65790
94293,\,65791,65790
94294,\,65795,65790
94295,\,65793,65790
94296,\,65792,65790
94297,\,65797,65790
94298,\,65798,65790
94299,\,65799,65790
94300,\,65800,65790
94301,\,65808,65790
94302,\,65809,65790
94303,\,65810,65790
94304,\,65811,65790
94305,\,65812,65790
94306,\,65816,65790
94307,\,65819,65790
94308,\,65828,65790
94309,\,64840,64846
94310,\,65843,65841
94311,\,65849,65841
94312,\,65850,65841
94313,\,65852,65841
94314,\,65854,65841
94315,\,65842,65840
94316,\,65843,65840
94317,\,65849,65840
94318,\,65852,65840
94319,\,65854,65840
94320,\,65982,66000
94321,\,65977,66016
94322,\,66083,66106
94323,\,66084,66106
94324,\,66086,66106
94325,\,66087,66106
94326,\,66088,66106
94327,\,66089,66106
94328,\,66090,66106
94329,\,66091,66106
94330,\,66092,66106
94331,\,66093,66106
94332,\,66097,66106
94333,\,66126,66131
94334,\,66132,66131
94335,\,94324,66131
94336,\,66227,66228
94337,\,61342,61343
94338,\,61416,61415
94339,\,61721,61719
94340,\,61721,61718
94341,\,61358,61351
94342,\,22371,62531
94343,\,25480,62531
94344,\,26074,62531
94345,\,26939,62531
94346,\,27997,62531
94347,\,28032,62531
94348,\,30654,62531
94349,\,32283,62531
94350,\,33218,62531
94351,\,33854,62531
94352,\,36542,62531
94353,\,39816,62531
94354,\,64199,62531
94355,\,64201,62531
94356,\,64202,62531
94357,\,64204,62531
94358,\,62735,62736
94359,\,63756,64118
94360,\,64347,64351
94361,\,64350,64351
94362,\,64352,64351
94363,\,64353,64351
94364,\,64358,64351
94365,\,64377,64351
94366,\,64719,64731
94367,\,64719,64749
94368,\,64885,64887
94369,\,64885,64885
94370,\,4979,64930
94371,\,65060,65066
94372,\,65146,65145
94373,\,65148,65145
94374,\,65144,65146
94375,\,65146,65146
94376,\,65148,65146
94377,\,112005,65334
94378,\,65482,65483
94379,\,65489,65483
94380,\,65635,65639
94381,\,65636,65639
94382,\,65634,65639
94383,\,65631,65639
94384,\,104432,65639
94385,\,5170,65676
94386,\,65670,65676
94387,\,65671,65676
94388,\,65672,65676
94389,\,65673,65676
94390,\,65675,65676
94391,\,65677,65676
94392,\,65678,65676
94393,\,66102,66108
94394,\,66086,65736
94395,\,57987,61307
94396,\,61308,61307
94397,\,61309,61307
94398,\,61310,61307
94399,\,61316,61307
94400,\,61317,61307
94401,\,61321,61307
94402,\,61322,61307
94403,\,61323,61307
94404,\,64050,64063
94405,\,64051,64063
94406,\,64053,64063
94407,\,64054,64063
94408,\,64050,64088
94409,\,65842,65841
94410,\,64054,64088
94411,\,64055,64088
94412,\,4555,64158
94413,\,4555,64157
94414,\,4555,64246
94415,\,81317,64283
94416,\,64278,64283
94417,\,81317,64380
94418,\,15117,64598
94419,\,64572,64598
94420,\,64573,64598
94421,\,64574,64598
94422,\,64575,64598
94423,\,64576,64598
94424,\,64577,64598
94425,\,64578,64598
94426,\,64579,64598
94427,\,64580,64598
94428,\,64581,64598
94429,\,64582,64598
94430,\,64583,64598
94431,\,64584,64598
94432,\,64588,64598
94433,\,64594,64598
94434,\,64595,64598
94435,\,64596,64598
94436,\,3281,65728
94437,\,3815,65728
94438,\,5174,65728
94439,\,21022,65728
94440,\,26279,65728
94441,\,26316,65728
94442,\,28240,65728
94443,\,29158,65728
94444,\,31330,65728
94445,\,32371,65728
94446,\,42248,65728
94447,\,43589,65728
94448,\,45148,65728
94449,\,45697,65728
94450,\,46636,65728
94451,\,48829,65728
94452,\,60004,65728
94453,\,66231,66242
94454,\,66319,112007
94455,\,66328,112007
94456,\,66357,66359
94457,\,66364,66359
94458,\,66366,66371
94459,\,66374,66386
94460,\,66376,66386
94461,\,66377,66386
94462,\,66378,66386
94463,\,66389,66390
94464,\,66395,66390
94465,\,66398,66397
94466,\,66760,66778
94467,\,66761,66778
94468,\,66762,66778
94469,\,66763,66778
94470,\,66764,66778
94471,\,66765,66778
94472,\,66767,66778
94473,\,66768,66778
94474,\,66769,66778
94475,\,66770,66778
94476,\,66771,66778
94477,\,66772,66778
94478,\,66773,66778
94479,\,66774,66778
94480,\,66775,66778
94481,\,66776,66778
94482,\,66777,66778
94483,\,66779,66778
94484,\,66780,66778
94485,\,66781,66778
94486,\,66782,66778
94487,\,67431,106883
94488,\,67433,106883
94489,\,67424,106883
94490,\,67443,106883
94491,\,67431,67432
94492,\,67433,67432
94493,\,67424,67432
94494,\,67442,67432
94495,\,67443,67432
94496,\,67431,67500
94497,\,67433,67500
94498,\,67424,67500
94499,\,67442,67500
94500,\,67443,67500
94501,\,67431,67507
94502,\,67433,67507
94503,\,67424,67507
94504,\,67442,67507
94505,\,67443,67507
94506,\,8638,67592
94507,\,8674,67592
94508,\,68891,67592
94509,\,64053,64088
94510,\,67628,67627
94511,\,67629,67627
94512,\,67630,67627
94513,\,8734,67660
94514,\,8735,67660
94515,\,12588,67660
94516,\,12589,67660
94517,\,27595,67660
94518,\,67659,67660
94519,\,67661,67660
94520,\,73310,67660
94521,\,73317,67660
94522,\,73318,67660
94523,\,78058,67660
94524,\,94498,67660
94525,\,104473,67660
94526,\,104474,67660
94527,\,67735,67897
94528,\,67754,67897
94529,\,67762,67897
94530,\,67763,67897
94531,\,67769,67897
94532,\,67775,67897
94533,\,67793,67897
94534,\,67794,67897
94535,\,67799,67897
94536,\,67802,67897
94537,\,67803,67897
94538,\,67805,67897
94539,\,67925,67897
94540,\,73841,67897
94541,\,12541,66526
94542,\,29659,66526
94543,\,33815,66526
94544,\,51961,66526
94545,\,74807,66526
94546,\,78033,66526
94547,\,96542,66526
94548,\,104441,66526
94549,\,66531,66493
94550,\,66526,66493
94551,\,66537,66493
94552,\,66535,66493
94553,\,66527,66493
94554,\,66459,66493
94555,\,66423,66493
94556,\,66531,66577
94557,\,66526,66577
94558,\,66537,66577
94559,\,66535,66577
94560,\,66527,66577
94561,\,66496,66577
94562,\,66459,66577
94563,\,66423,66577
94564,\,66627,66632
94565,\,66622,66632
94566,\,66625,66632
94567,\,66626,66632
94568,\,66619,66632
94569,\,66637,66632
94570,\,67094,67101
94571,\,67537,67591
94572,\,67935,66363
94573,\,67340,67364
94574,\,67349,67364
94575,\,67354,67364
94576,\,67356,67364
94577,\,67357,67364
94578,\,76830,67364
94579,\,109344,67364
94580,\,67387,67386
94581,\,67388,67386
94582,\,67389,67386
94583,\,67390,67386
94584,\,68079,112017
94585,\,68076,112017
94586,\,68082,112017
94587,\,68081,112017
94588,\,68137,112017
94589,\,84328,112017
94590,\,10439,68325
94591,\,12612,68325
94592,\,12613,68325
94593,\,16881,68325
94594,\,17991,68325
94595,\,23894,68325
94596,\,25518,68325
94597,\,28776,68325
94598,\,30723,68325
94599,\,38260,68325
94600,\,40309,68325
94601,\,42311,68325
94602,\,42313,68325
94603,\,42314,68325
94604,\,52057,68325
94605,\,56677,68325
94606,\,60426,68325
94607,\,61493,68325
94608,\,68441,68437
94609,\,67578,67592
94610,\,68985,68986
94611,\,68987,68986
94612,\,68988,68986
94613,\,69215,69216
94614,\,69217,69216
94615,\,69218,69216
94616,\,69219,69216
94617,\,69222,69216
94618,\,68849,68899
94619,\,68850,68899
94620,\,68852,68899
94621,\,68853,68899
94622,\,68854,68899
94623,\,68855,68899
94624,\,68856,68899
94625,\,68863,68899
94626,\,68865,68899
94627,\,68877,68899
94628,\,68880,68899
94629,\,68882,68899
94630,\,68884,68899
94631,\,68885,68899
94632,\,68886,68899
94633,\,68888,68899
94634,\,68897,68899
94635,\,68903,68899
94636,\,8601,68943
94637,\,68986,69082
94638,\,68994,69082
94639,\,69004,69082
94640,\,69010,69082
94641,\,69009,69082
94642,\,69120,69082
94643,\,69118,69082
94644,\,69170,69171
94645,\,69210,69171
94646,\,69214,69171
94647,\,69170,112021
94648,\,69210,112021
94649,\,69214,112021
94650,\,72419,72318
94651,\,72329,72362
94652,\,72212,72211
94653,\,72391,72426
94654,\,72391,72425
94655,\,72390,72425
94656,\,72391,72431
94657,\,72390,72431
94658,\,72391,72430
94659,\,72390,72430
94660,\,72391,72429
94661,\,72390,72429
94662,\,72391,72428
94663,\,72390,72428
94664,\,68476,68479
94665,\,68659,68661
94666,\,68660,68661
94667,\,68662,68661
94668,\,68663,68661
94669,\,68664,68661
94670,\,68665,68661
94671,\,68666,68661
94672,\,57962,68681
94673,\,57959,68654
94674,\,67936,68654
94675,\,69490,69491
94676,\,69492,69491
94677,\,69493,69491
94678,\,69536,69492
94679,\,70610,70628
94680,\,70610,70723
94681,\,70610,70856
94682,\,71731,71732
94683,\,71239,71229
94684,\,71300,71301
94685,\,72576,112183
94686,\,69177,69189
94687,\,69178,69189
94688,\,69179,69189
94689,\,69181,69189
94690,\,69183,69189
94691,\,69184,69189
94692,\,69185,69189
94693,\,69186,69189
94694,\,69187,69189
94695,\,69190,69189
94696,\,17418,68649
94697,\,8557,68649
94698,\,8558,68649
94699,\,11811,68649
94700,\,25541,68649
94701,\,27610,68649
94702,\,35423,68649
94703,\,35422,68649
94704,\,43511,68649
94705,\,43513,68649
94706,\,43512,68649
94707,\,29670,68649
94708,\,36446,68649
94709,\,68445,68437
94710,\,62418,68649
94711,\,76012,68649
94712,\,76011,68649
94713,\,78089,68649
94714,\,78088,68649
94715,\,84347,68649
94716,\,84348,68649
94717,\,85992,68649
94718,\,96604,68649
94719,\,100787,68649
94720,\,71088,70995
94721,\,71088,71009
94722,\,68529,68540
94723,\,68529,68539
94724,\,68529,68557
94725,\,10472,69288
94726,\,69282,69288
94727,\,112180,69297
94728,\,69843,69841
94729,\,69865,69863
94730,\,69864,69863
94731,\,69866,69863
94732,\,69865,70011
94733,\,69864,70011
94734,\,69866,70011
94735,\,70412,70410
94736,\,70483,70491
94737,\,70600,70599
94738,\,70628,70599
94739,\,63942,70599
94740,\,10313,70599
94741,\,26162,70599
94742,\,39918,70599
94743,\,70454,70599
94744,\,97019,70599
94745,\,10171,70599
94746,\,64005,70599
94747,\,112076,70599
94748,\,41017,70661
94749,\,39918,70661
94750,\,10313,70661
94751,\,76218,70661
94752,\,70668,70662
94753,\,89399,70662
94754,\,71658,71707
94755,\,42373,71778
94756,\,71828,71833
94757,\,71847,71844
94758,\,71845,71844
94759,\,71889,71890
94760,\,71891,71890
94761,\,71892,71890
94762,\,71893,71890
94763,\,71894,71890
94764,\,71895,71890
94765,\,71896,71890
94766,\,71926,71931
94767,\,71987,71989
94768,\,71988,71989
94769,\,71990,71989
94770,\,71991,71989
94771,\,71992,71989
94772,\,72143,71998
94773,\,72051,72061
94774,\,72053,72061
94775,\,72533,72562
94776,\,72651,72657
94777,\,2010,72666
94778,\,13611,72732
94779,\,25743,72732
94780,\,29706,72732
94781,\,39748,72732
94782,\,49905,72732
94783,\,53482,72732
94784,\,71132,72732
94785,\,84411,72732
94786,\,86068,72732
94787,\,96769,72732
94788,\,103399,72732
94789,\,72684,72754
94790,\,69683,69691
94791,\,69684,69691
94792,\,69685,69691
94793,\,69686,69691
94794,\,69687,69691
94795,\,69688,69691
94796,\,69689,69691
94797,\,69690,69691
94798,\,69877,69880
94799,\,69878,69880
94800,\,69879,69880
94801,\,69990,70000
94802,\,69999,70000
94803,\,71009,71034
94804,\,71009,71188
94805,\,71562,71573
94806,\,71567,71573
94807,\,71575,71573
94808,\,72109,72877
94809,\,49343,68649
94810,\,74108,74111
94811,\,74108,75499
94812,\,76317,76321
94813,\,76318,76321
94814,\,76319,76321
94815,\,76320,76321
94816,\,76479,76478
94817,\,76480,76478
94818,\,76566,76583
94819,\,17994,76826
94820,\,25748,76826
94821,\,65316,76826
94822,\,76827,76826
94823,\,76843,76840
94824,\,76842,76840
94825,\,76836,76840
94826,\,76835,76840
94827,\,76837,76840
94828,\,76845,76840
94829,\,67298,76935
94830,\,78968,78963
94831,\,78972,78963
94832,\,78973,78963
94833,\,59362,112024
94834,\,1613,79050
94835,\,1633,79050
94836,\,6684,79050
94837,\,12676,79050
94838,\,23966,79050
94839,\,29713,79050
94840,\,30809,79050
94841,\,32441,79050
94842,\,38361,79050
94843,\,42496,79050
94844,\,47759,79050
94845,\,48757,79050
94846,\,49758,79050
94847,\,52154,79050
94848,\,70819,79050
94849,\,74905,79050
94850,\,78190,79050
94851,\,86138,79050
94852,\,79276,79268
94853,\,79272,79268
94854,\,54178,79380
94855,\,79378,79380
94856,\,54178,79394
94857,\,79378,79394
94858,\,79469,79482
94859,\,79470,79482
94860,\,79478,79482
94861,\,79643,79650
94862,\,79644,79650
94863,\,79645,79650
94864,\,79646,79650
94865,\,79647,79650
94866,\,79648,79650
94867,\,79649,79650
94868,\,79651,79650
94869,\,79652,79650
94870,\,79643,80474
94871,\,79644,80474
94872,\,79646,80474
94873,\,79647,80474
94874,\,79648,80474
94875,\,79649,80474
94876,\,79651,80474
94877,\,79652,80474
94878,\,80649,80682
94879,\,80650,80682
94880,\,80651,80682
94881,\,80652,80682
94882,\,80653,80682
94883,\,80654,80682
94884,\,80655,80682
94885,\,80656,80682
94886,\,80657,80682
94887,\,80658,80682
94888,\,80659,80682
94889,\,80660,80682
94890,\,80662,80682
94891,\,80663,80682
94892,\,80664,80682
94893,\,80665,80682
94894,\,80666,80682
94895,\,80667,80682
94896,\,64324,80742
94897,\,66596,80742
94898,\,80753,80742
94899,\,80759,80742
94900,\,80761,80742
94901,\,64324,82017
94902,\,66596,82017
94903,\,80753,82017
94904,\,80759,82017
94905,\,80761,82017
94906,\,12848,82042
94907,\,27759,82042
94908,\,42562,82042
94909,\,72903,72902
94910,\,62931,82140
94911,\,87208,82140
94912,\,62931,82139
94913,\,87208,82139
94914,\,62931,82297
94915,\,87208,82297
94916,\,87511,87513
94917,\,87512,87513
94918,\,87644,87660
94919,\,87678,87660
94920,\,87696,87701
94921,\,88093,88088
94922,\,88097,88088
94923,\,88098,88088
94924,\,18776,88112
94925,\,72907,72908
94926,\,72941,72945
94927,\,72961,72960
94928,\,73019,73022
94929,\,73020,73022
94930,\,73021,73022
94931,\,73036,73037
94932,\,73036,73052
94933,\,73139,73140
94934,\,73139,73999
94935,\,76214,112030
94936,\,75677,75676
94937,\,75678,75676
94938,\,75679,75676
94939,\,75907,112031
94940,\,75908,112031
94941,\,75910,112031
94942,\,75912,112031
94943,\,75913,112031
94944,\,75914,112031
94945,\,75915,112031
94946,\,75916,112031
94947,\,75917,112031
94948,\,75918,112031
94949,\,75919,112031
94950,\,75921,112031
94951,\,75922,112031
94952,\,75923,112031
94953,\,75924,112031
94954,\,75926,112031
94955,\,75927,112031
94956,\,76362,76341
94957,\,76364,76362
94958,\,112032,76364
94959,\,9623,73084
94960,\,72945,73084
94961,\,72960,73084
