id,lemma,pronunciation
765,ἀγριαχράς,
767,ἀγρίδιον,
768,ἀγριελαία,
775,ἀγριμέλισσα,
776,ἀγριοαππίδιον,
777,ἀγριοβάλανος,
779,ἀγριοδαίτης,
782,ἀγριοκάναβος,
783,ἀγριοκάρδαμον,
784,ἀγριόκαρδον,
785,ἀγριοκάρυον,
786,ἀγριοκινάρα,
787,ἀγριοκοκκύμηλον,
788,ἀγριοκολοκύντη,
789,ἀγριοκρόμμυον,
790,ἀγριοκύμινον,
791,ἀγριολάχανα,
792,ἀγριολειχήν,
793,ἀγρίολον,
794,ἀγριομαλάχη,
795,ἀγριομέλιττα,
797,ἀγριομυρίκη,
798,ἀγριομύρμηξ,
800,ἀγριοπήγανον,
801,ἀγριοπηγός,
804,ἀγριορίγανος,
805,ἀγριόρροδον,
807,ἀγριοσέλινον,
808,ἀγριοσίκυον,
811,ἀγριότης,
812,ἀγριόφαγρος,
814,ἀγριόφυλλον,
815,ἀγριόφυτα,
817,ἀγριόχοιρος,
818,ἀγριοψωρία,
820,Ἀγριππιασταί,
821,ἄγριππος,
822,ἀγρίς,
823,ἀγρίτης,
824,ἀγρίφη,
826,Ἀγριώνιος,
828,ἀγροβόας,
829,ἀγροβότης,
830,ἀγρογείτων,
832,ἀγροδότης,
837,ἀγροικία,
840,ἀγροικοπυρρώνειος,
844,ἀγροιώτης,
845,ἀγροκήπιον,
846,ἀγρόκηπος,
847,ἀγροκόμος,
848,ἀγρολέτειρα,
852,ἀγρονόμης,
854,ἀγροπόνος,
855,ἀγρός,/a.ɡrós/
856,ἀγροτέκτων,
858,ἀγροτήρ,
859,ἀγρότης,
860,ἀγροφύλαξ,
864,ἀγρυπνητήρ,
865,ἀγρυπνητής,
867,ἀγρυπνία,/a.ɡry.pní.aː/
870,ἄγρωμα,
871,ἄγρωσσα,
873,ἀγρώστης,
874,ἀγρωστῖνος,
875,ἄγρωστις,/á.ɡrɔːs.tis/
876,ἀγρωστήρ,
877,ἀγρώτηρ,
878,ἀγρώτης,
879,ἄγυια,/á.ɡyː.a/
881,ἀγυιάτης,
882,ἀγυιᾶτις,
883,Ἀγυιεύς,
884,Ἀγυίηος,
885,ἀγυιόπεζα,
888,ἀγυμνασία,
890,ἀγύναιξ,
891,ἄγυρις,
892,ἀγυρισμός,
893,ἄγυρμα,
894,ἀγυρμός,
896,ἀγυρτεία,
897,ἀγυρτευτής,
899,ἀγυρτήρ,
900,ἀγύρτης,
903,ἀγύρτρια,
905,ἀγχ,
909,ἀγχεμωλία,
914,ἀγχιβασίη,
916,ἀγχιβάτης,
930,ἀγχίλωψ,/aŋ.kʰí.lɔːps/
931,ἀγχιμαχητής,
938,ἀγχίνοια,
943,ἀγχίπους,
946,ἀγχιστεία,
947,ἀγχιστεῖα,
948,ἀγχιστεύς,
951,ἀγχιστήρ,
961,ἀγχίφρων,
968,ἀγχόνη,
971,ἀγχονιστής,
977,ἄγχουρος,
979,ἄγχουσα,
981,ἀγχύνωψ,
986,ἀγωγεῖον,
987,ἀγωγεύς,
988,ἀγωγή,/a.ɡɔː.ɡɛ̌ː/
989,ἀγωγικά,
991,ἀγώγιον,
993,ἀγωίλιον,
994,ἀγών,/a.ɡɔ̌ːn/
995,ἀγωνάρχης,
996,ἀγωνία,/a.ɡɔː.ní.aː/
1003,ἀγώνισις,
1004,ἀγώνισμα,
1005,ἀγωνισμός,
1008,ἀγωνιστής,/a.ɡɔː.nis.tɛ̌ːs/
1010,ἀγωνοδίκης,
1011,ἀγωνοθεσία,
1013,ἀγωνοθετήρ,
1014,ἀγωνοθέτης,
1016,ἀγωνοθέτις,
1017,ἀγωνοθήκη,
1018,ἀγωνολογία,
1020,ἄγωνος,
1021,ἀγωνότριψ,
1022,ἀδαγμός,
1025,ἀδαημονία,
1037,ἄδακρυς,
1043,ἀδάμας,/á.dá.maːs/
1047,ἀδαμνεῖς,
1050,ἄδαν,
1054,ἀδάρκη,
1059,ἄδδαυον,
